,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.1025412609647687,0.8188,0.755,0.789,0.7209,0.5812,0.482
0,1,1.0853207005305572,0.8291,0.7617,0.8154,0.7081,0.5684,0.4901
0,2,1.0438771842957153,0.8503,0.7931,0.8092,0.777,0.6471,0.5609
0,3,1.0180316623115946,0.8602,0.7955,0.8034,0.7876,0.6461,0.5641
0,4,0.9941829338234925,0.8654,0.8094,0.7881,0.8307,0.685,0.5983
0,5,0.9855363342230199,0.8711,0.8136,0.825,0.8022,0.669,0.5997
0,6,0.9538576558589551,0.8781,0.8298,0.8629,0.7968,0.6669,0.6249
0,7,0.959009381000942,0.8746,0.8299,0.8619,0.798,0.674,0.6275
0,8,0.9206300847052941,0.8961,0.8539,0.8845,0.8233,0.698,0.6716
0,9,0.9141414023397657,0.8927,0.8524,0.8952,0.8097,0.6838,0.6652
0,10,0.9114368586921808,0.8964,0.8561,0.8809,0.8314,0.7115,0.6795
0,11,0.9108415210586166,0.9056,0.8563,0.828,0.8845,0.7663,0.6984
0,12,0.888644222778684,0.9002,0.8699,0.9025,0.8374,0.7266,0.706
0,13,0.8861555219135845,0.9102,0.8733,0.9117,0.8349,0.727,0.7117
0,14,0.8767890653297389,0.9065,0.8751,0.9165,0.8337,0.7183,0.7111
0,15,0.8554033042555147,0.9129,0.8874,0.93,0.8447,0.7344,0.7351
0,16,0.8367965036722561,0.925,0.9002,0.9201,0.8803,0.7862,0.772
0,17,0.8445924667173677,0.9174,0.8943,0.9247,0.8639,0.7587,0.7535
0,18,0.8311444008667266,0.9176,0.8979,0.9136,0.8822,0.7868,0.7686
0,19,0.8078102523491634,0.9249,0.9059,0.9172,0.8945,0.7952,0.7831
0,20,0.8208952384826708,0.9259,0.9067,0.9461,0.8673,0.7742,0.7786
0,21,0.8036373917304402,0.9315,0.9191,0.9347,0.9034,0.8291,0.8158
0,22,0.790824732744863,0.9302,0.9184,0.9332,0.9035,0.8126,0.8081
0,23,0.7877680309629511,0.9397,0.9262,0.9468,0.9055,0.8343,0.8286
0,24,0.7957864027866222,0.9278,0.9181,0.9225,0.9136,0.8331,0.8153
0,25,0.792102410300924,0.9293,0.9174,0.9397,0.8951,0.7971,0.8009
0,26,0.7773158409658272,0.938,0.9285,0.9475,0.9094,0.8362,0.8325
0,27,0.7736313536446453,0.9362,0.9333,0.9448,0.9218,0.8489,0.8439
0,28,0.7680367677077802,0.941,0.9316,0.9481,0.915,0.8405,0.8384
0,29,0.7672295542565626,0.935,0.9317,0.949,0.9145,0.8361,0.8369
0,30,0.7702119794939845,0.9367,0.929,0.946,0.9121,0.8376,0.8337
0,31,0.7661278171410789,0.9453,0.9401,0.96,0.9203,0.8598,0.8589
0,32,0.7444292420922434,0.9437,0.9387,0.9518,0.9255,0.8516,0.8527
0,33,0.7449275255264228,0.9438,0.9446,0.9513,0.938,0.8803,0.8725
0,34,0.7412439925346116,0.9422,0.943,0.9519,0.934,0.8699,0.8661
0,35,0.7533190909690727,0.9408,0.9417,0.954,0.9294,0.8667,0.8632
0,36,0.7372454337936439,0.9444,0.9485,0.9602,0.9368,0.8831,0.8795
0,37,0.7447854606492118,0.9443,0.9438,0.9624,0.9252,0.8587,0.8634
0,38,0.7351917433150507,0.9512,0.9487,0.9593,0.9381,0.8851,0.8806
0,39,0.731150384953701,0.9462,0.9494,0.9555,0.9432,0.8891,0.8828
0,40,0.7319504547031782,0.9426,0.9476,0.9546,0.9407,0.8845,0.8785
0,41,0.7396253623112271,0.95,0.9473,0.9558,0.9388,0.8824,0.8772
0,42,0.7416150021241313,0.941,0.9475,0.9588,0.9362,0.8829,0.8779
0,43,0.7286425073982378,0.9455,0.9492,0.9515,0.9468,0.8937,0.8841
